"","user_id","restaurant_id","rating"
"1","V0001","R015",4.24
"2","V0001","R029",5.1
"3","V0001","R038",4.25
"4","V0001","R018",4.82
"5","V0001","R049",7.46
"6","V0001","R036",2.87
"7","V0001","R004",4.98
"8","V0001","R010",4.5
"9","V0001","R050",5.59
"10","V0001","R011",1.86
"11","V0001","R027",6.46
"12","V0001","R017",3.24
"13","V0001","R032",3.41
"14","V0001","R044",4.3
"15","V0001","R012",6
"16","V0001","R008",3.64
"17","V0001","R007",3.14
"18","V0001","R042",3.46
"19","V0001","R009",4.86
"20","V0002","R019",3.38
"21","V0002","R009",2.03
"22","V0002","R004",1.34
"23","V0002","R035",1.35
"24","V0002","R044",2.39
"25","V0002","R043",3.43
"26","V0002","R001",1.52
"27","V0002","R011",3.56
"28","V0002","R036",3.98
"29","V0002","R033",2.59
"30","V0002","R045",3.43
"31","V0002","R038",3.92
"32","V0002","R027",3.14
"33","V0002","R002",2.44
"34","V0002","R021",2.38
"35","V0002","R025",1.2
"36","V0002","R029",3.29
"37","V0002","R041",3.75
"38","V0002","R008",2.87
"39","V0002","R030",0
"40","V0002","R032",3.43
"41","V0002","R003",3.99
"42","V0002","R017",2.17
"43","V0002","R010",4.11
"44","V0002","R031",4.09
"45","V0003","R039",4.44
"46","V0003","R036",4.38
"47","V0003","R031",6.62
"48","V0003","R010",5.43
"49","V0003","R021",4
"50","V0003","R038",3.69
"51","V0003","R024",3.63
"52","V0003","R003",4.39
"53","V0003","R002",5.35
"54","V0003","R005",5.1
"55","V0003","R006",4.68
"56","V0003","R043",6.35
"57","V0003","R034",4.31
"58","V0003","R018",5.69
"59","V0003","R033",6.5
"60","V0003","R026",3.87
"61","V0003","R023",5.69
"62","V0003","R011",4.49
"63","V0003","R037",5.14
"64","V0003","R017",4.8
"65","V0003","R049",4.18
"66","V0003","R019",3.78
"67","V0003","R029",4.55
"68","V0003","R044",4.93
"69","V0003","R041",7.48
"70","V0004","R014",3.47
"71","V0004","R033",5.07
"72","V0004","R022",2.32
"73","V0004","R013",4.06
"74","V0004","R032",3.21
"75","V0004","R031",2.74
"76","V0004","R004",2.57
"77","V0004","R046",5.09
"78","V0004","R035",4.31
"79","V0004","R042",3.98
"80","V0004","R049",2.11
"81","V0004","R027",3.9
"82","V0004","R017",4.04
"83","V0004","R021",4.92
"84","V0004","R020",3.91
"85","V0004","R043",5.1
"86","V0004","R024",3.78
"87","V0004","R018",5.36
"88","V0004","R015",3.52
"89","V0005","R045",3.71
"90","V0005","R002",4.65
"91","V0005","R003",3.19
"92","V0005","R017",3.74
"93","V0005","R040",3.48
"94","V0005","R009",1.99
"95","V0005","R030",2.68
"96","V0005","R046",3.57
"97","V0005","R018",5.5
"98","V0005","R029",1.54
"99","V0005","R048",2.76
"100","V0005","R037",2.85
"101","V0005","R041",3.26
"102","V0005","R011",2.91
"103","V0005","R026",2.4
"104","V0005","R050",0.41
"105","V0005","R043",3.1
"106","V0006","R009",2.91
"107","V0006","R021",1.64
"108","V0006","R019",2.16
"109","V0006","R012",3.66
"110","V0006","R027",3.16
"111","V0006","R007",3.28
"112","V0006","R046",1.05
"113","V0006","R025",2.37
"114","V0006","R006",2.64
"115","V0006","R030",3.92
"116","V0006","R029",3.59
"117","V0006","R047",1.23
"118","V0006","R038",2.83
"119","V0006","R037",2.25
"120","V0006","R008",2.45
"121","V0006","R024",1.15
"122","V0006","R043",1.7
"123","V0006","R039",3.77
"124","V0006","R049",2.87
"125","V0006","R013",1.6
"126","V0006","R028",0.3
"127","V0006","R010",2.14
"128","V0006","R034",3.44
"129","V0006","R004",3.53
"130","V0006","R036",1.16
"131","V0006","R015",3.13
"132","V0006","R001",2.3
"133","V0006","R044",2.48
"134","V0006","R035",2.04
"135","V0007","R005",3.07
"136","V0007","R050",4.04
"137","V0007","R008",3.09
"138","V0007","R020",3.12
"139","V0007","R022",2.4
"140","V0007","R044",3.69
"141","V0007","R036",0.73
"142","V0007","R032",2.73
"143","V0007","R017",3.36
"144","V0007","R040",3.96
"145","V0007","R018",2.46
"146","V0007","R029",2.35
"147","V0007","R011",1.7
"148","V0007","R024",3.56
"149","V0007","R041",4.24
"150","V0007","R039",2.95
"151","V0007","R027",3.35
"152","V0007","R007",1.1
"153","V0007","R025",4.85
"154","V0008","R004",3.84
"155","V0008","R005",4.14
"156","V0008","R048",1.91
"157","V0008","R003",3.23
"158","V0008","R028",1.74
"159","V0008","R050",3.91
"160","V0008","R019",3.09
"161","V0008","R041",2.2
"162","V0008","R029",2.44
"163","V0008","R026",3.15
"164","V0009","R037",4.26
"165","V0009","R002",5.89
"166","V0009","R046",5.2
"167","V0009","R013",4.91
"168","V0009","R007",5.6
"169","V0009","R033",4.08
"170","V0009","R006",3.1
"171","V0009","R031",5.14
"172","V0009","R032",6.82
"173","V0009","R010",5.38
"174","V0009","R035",5.69
"175","V0009","R009",5.54
"176","V0009","R023",5.92
"177","V0009","R019",4.84
"178","V0009","R025",6.11
"179","V0010","R004",2.8
"180","V0010","R019",1.45
"181","V0010","R005",1.64
"182","V0010","R029",2.95
"183","V0010","R028",2.74
"184","V0010","R013",2.79
"185","V0010","R037",2.68
"186","V0010","R010",4.71
"187","V0010","R015",2.31
"188","V0010","R032",4.57
"189","V0010","R023",4.31
"190","V0010","R039",1.81
"191","V0010","R021",3.31
"192","V0010","R041",2.84
"193","V0010","R043",4.88
"194","V0010","R035",5.28
"195","V0010","R006",3.34
"196","V0010","R011",6.35
"197","V0010","R017",3.66
"198","V0011","R047",2.28
"199","V0011","R036",3
"200","V0011","R004",2.72
"201","V0011","R005",3.9
"202","V0011","R035",2.46
"203","V0011","R022",1.54
"204","V0011","R037",4.03
"205","V0011","R044",3.15
"206","V0011","R018",4.16
"207","V0011","R027",2.32
"208","V0011","R025",3.03
"209","V0011","R026",4.01
"210","V0011","R032",1.63
"211","V0011","R021",2.36
"212","V0011","R041",0.31
"213","V0011","R013",2.55
