"","restaurant_id","name","cuisine","hall_area_m2","seats","halls_count","summer_terrace","vip_zone","avg_bill_rub","staff_count","michelin_stars"
"1","R001","Twins Garden","Seafood",136,54,1,"Yes","No",5306,32,0
"2","R002","Artest Chef’s Table","Japanese",160,121,1,"No","No",3285,32,0
"3","R003","White Rabbit","Author's",392,55,1,"Yes","No",5149,64,0
"4","R004","SAVVA","Seafood",186,168,1,"Yes","No",4008,27,0
"5","R005","Selfie","Seafood",192,129,1,"No","Yes",2810,38,0
"6","R006","Beluga","Georgian",424,64,3,"Yes","Yes",6502,72,0
"7","R007","Grand Cru","Italian",227,46,2,"No","No",5496,38,1
"8","R008","Biologie","Asian",96,53,2,"Yes","Yes",3185,5,0
"9","R009","Sakhalin","Seafood",128,78,2,"Yes","No",4288,29,0
"10","R010","Cafe Pushkin","Italian",144,63,3,"No","No",3361,20,0
"11","R011","Probka","Georgian",332,61,1,"No","No",3747,57,1
"12","R012","Maya","Italian",215,48,2,"No","Yes",5227,40,1
"13","R013","Sage","Georgian",220,69,2,"Yes","No",5858,43,0
"14","R014","Onest","Author's",190,51,1,"Yes","No",5936,38,0
"15","R015","Big Wine Freaks","Fusion",136,36,2,"No","No",5540,22,0
"16","R016","Padron","Mediterranean",440,60,1,"Yes","No",4316,76,0
"17","R017","15 Kitchen + Bar","Mediterranean",231,101,1,"Yes","Yes",1667,28,0
"18","R018","La Marée","Asian",67,56,2,"No","No",5289,11,0
"19","R019","BOLSHOI","Italian",256,89,3,"Yes","No",5882,47,0
"20","R020","Peshi","Fusion",142,37,1,"Yes","No",5212,22,0
"21","R021","Darbar","French",106,68,3,"No","No",3143,13,0
"22","R022","Severyane","Fusion",161,86,1,"Yes","Yes",5170,29,1
"23","R023","Cristal Room Baccarat","French",108,79,2,"Yes","No",6023,19,0
"24","R024","Pinch","Fusion",125,73,1,"Yes","No",2893,13,0
"25","R025","Technikum","Author's",132,54,2,"Yes","No",5274,16,0
"26","R026","Grace Bistro","Japanese",77,50,2,"Yes","No",9397,19,0
"27","R027","Wine & Crab","Russian",274,46,2,"Yes","No",2744,44,0
"28","R028","L.E.S.","Author's",194,73,3,"No","No",5713,23,0
"29","R029","Chemodan","Italian",102,48,1,"Yes","No",4062,19,0
"30","R030","Dr. Zhivago","Asian",337,58,1,"Yes","Yes",2952,54,0
"31","R031","Natakhtari","Italian",223,63,1,"No","No",3412,41,0
"32","R032","Expedition","Asian",155,146,1,"No","No",4513,30,0
"33","R033","Assunta Madre","Russian",282,54,3,"Yes","No",3981,45,0
"34","R034","Butler","Georgian",279,77,1,"Yes","No",2967,40,0
"35","R035","Avocado Queen","Georgian",271,72,2,"No","Yes",4157,57,0
"36","R036","Volna","Georgian",254,48,1,"Yes","Yes",3387,46,0
"37","R037","Gastronome","Fusion",237,68,2,"No","No",5618,43,0
"38","R038","Corner Cafe","Author's",175,125,2,"Yes","No",5889,21,0
"39","R039","Fahrenheit","Georgian",154,84,1,"No","Yes",4056,31,1
"40","R040","Alice","Fusion",149,71,1,"Yes","No",2637,23,2
"41","R041","Aist","Mediterranean",127,59,1,"No","No",5174,19,0
"42","R042","AQ Kitchen","Author's",162,31,1,"Yes","No",2506,32,0
"43","R043","Pavilion","Asian",96,110,3,"Yes","No",3855,13,0
"44","R044","Pushkin","Mediterranean",532,39,1,"Yes","No",5211,94,0
"45","R045","Gvidon","Georgian",329,94,1,"Yes","No",5898,58,0
"46","R046","Harvest","Japanese",103,150,1,"No","No",5453,13,0
"47","R047","Sartoria Lamberti","Italian",147,39,2,"Yes","No",5986,28,0
"48","R048","Eggsellent","Seafood",143,93,2,"No","Yes",3760,23,0
"49","R049","Margarita Bistro","Georgian",266,63,3,"No","No",3019,49,0
"50","R050","Probka na Tsvetnom","Author's",173,37,2,"Yes","Yes",3768,27,0
