"","user_id","age","gender","profession","big5_openness","big5_conscientiousness","big5_extraversion","big5_agreeableness","big5_neuroticism"
"1","V0001",54,"Male","Finance",0.57,0.59,0.59,0.47,0.33
"2","V0002",18,"Male","Service Worker",0.49,0.61,0.22,0.66,0.51
"3","V0003",42,"Male","IT Specialist",0.67,0.38,0.48,0.62,0.56
"4","V0004",27,"Female","Student",0.54,0.42,0.77,0.64,0.68
"5","V0005",53,"Female","Medical",0.88,0.56,0.42,0.64,0.29
"6","V0006",35,"Female","Finance",0.76,0.26,0.34,0.56,0.55
"7","V0007",64,"Female","Student",0.57,0.51,0.61,0.64,0.67
"8","V0008",41,"Female","IT Specialist",0.32,0.69,0.61,0.66,0.54
"9","V0009",24,"Female","Sales",0.84,0.41,0.24,0.43,0.45
"10","V0010",53,"Male","Manager",0.44,0.47,0.81,0.71,0.49
"11","V0011",42,"Male","IT Specialist",0.56,0.74,0.53,0.5,0.19
"12","V0012",54,"Male","Sales",0.67,0.49,0.81,0.69,0.47
"13","V0013",63,"Female","Manager",0.74,0.44,0.31,0.54,0.3
"14","V0014",37,"Female","Medical",0.61,0.37,0.52,0.51,0.51
"15","V0015",43,"Male","Student",0.65,0.65,0.46,0.77,0.4
"16","V0016",64,"Female","IT Specialist",0.56,0.5,0.85,0.66,0.15
"17","V0017",20,"Female","Student",0.32,0.59,0.36,0.73,0.44
"18","V0018",58,"Male","Manager",0.69,0.5,0.64,0.57,0.4
"19","V0019",42,"Male","Scientist",0.58,0.55,0.3,0.51,0.11
"20","V0020",44,"Female","Manager",0.8,0.63,0.56,0.5,0.45
"21","V0021",53,"Male","IT Specialist",0.81,0.36,0.71,0.66,0.59
"22","V0022",54,"Female","Service Worker",0.61,0.33,0.88,0.64,0.16
"23","V0023",48,"Female","Medical",0.37,0.49,0.36,0.67,0.43
"24","V0024",62,"Female","Scientist",0.61,0.45,0.45,0.66,0.64
"25","V0025",22,"Male","Student",0.55,0.72,0.63,0.54,0.27
"26","V0026",37,"Male","Scientist",0.5,0.55,0.12,0.52,0.53
"27","V0027",51,"Male","Entrepreneur",0.61,0.31,0.24,0.69,0.42
"28","V0028",45,"Male","Medical",0.58,0.34,0.52,0.69,0.44
"29","V0029",57,"Male","Service Worker",0.65,0.5,0.37,0.44,0.32
"30","V0030",20,"Female","IT Specialist",0.56,0.87,0.64,0.51,0.6
"31","V0031",50,"Female","Scientist",0.68,0.52,0.65,0.68,0.52
"32","V0032",59,"Male","Student",0.55,0.42,1,0.68,0.22
"33","V0033",41,"Male","Creative",0.48,0.53,0.33,0.78,0.36
"34","V0034",47,"Male","Creative",0.67,0.42,0.32,0.57,0.36
"35","V0035",60,"Female","Sales",0.83,0.67,0.42,0.72,0.72
"36","V0036",32,"Female","Student",0.1,0.45,0.42,0.7,0.16
"37","V0037",39,"Male","IT Specialist",0.33,0.37,0.68,0.64,0.31
"38","V0038",25,"Male","Finance",0.41,0.49,0.29,0.52,0.27
"39","V0039",53,"Female","Entrepreneur",0.69,0.47,0.46,0.74,0.67
"40","V0040",21,"Female","Medical",0.78,0.56,0.59,0.64,0.9
"41","V0041",39,"Female","Service Worker",0.51,0.65,0.7,0.61,0.5
"42","V0042",35,"Male","Medical",0.89,0.57,0.4,0.6,0.5
"43","V0043",62,"Male","Manager",0.68,0.65,0.43,0.6,0.17
"44","V0044",45,"Male","Medical",0.7,0.43,0.72,0.67,0.22
"45","V0045",22,"Male","Entrepreneur",0.61,0.41,0.3,0.41,0.75
"46","V0046",21,"Female","IT Specialist",0.69,0.51,0.15,0.52,0.66
"47","V0047",51,"Male","Finance",0.7,0.57,0.56,0.81,0.73
"48","V0048",52,"Male","Creative",0.52,0.47,0.26,0.55,0.26
"49","V0049",41,"Female","Finance",0.48,0.5,0.45,0.52,0.62
"50","V0050",40,"Female","Medical",0.51,0.65,0.32,0.68,0.66
"51","V0051",43,"Male","Sales",0.45,0.66,0.46,0.63,0.58
"52","V0052",23,"Male","Scientist",0.6,0.66,0.36,0.44,0.2
"53","V0053",23,"Male","Sales",0.84,0.6,0.71,0.64,0.4
"54","V0054",19,"Female","IT Specialist",0.61,0.72,0.4,0.56,0.67
"55","V0055",20,"Male","Student",0.53,0.64,0.84,0.52,0.7
"56","V0056",38,"Female","Finance",0.66,0.51,0.74,0.66,0.61
"57","V0057",19,"Female","Sales",0.54,0.74,0.35,0.78,0.23
"58","V0058",55,"Male","Finance",0.8,0.49,0.06,0.52,0.56
"59","V0059",27,"Female","Sales",0.52,0.59,0.33,0.39,0.43
"60","V0060",57,"Male","Scientist",0.65,0.53,0.54,0.45,0.31
"61","V0061",22,"Female","IT Specialist",0.49,0.35,0.57,0.67,0.53
"62","V0062",50,"Female","Manager",0.43,0.6,0.66,0.51,0.67
"63","V0063",56,"Male","Entrepreneur",0.41,0.32,0.46,0.81,0.34
"64","V0064",53,"Male","Creative",0.62,0.73,0.67,0.6,0.43
"65","V0065",62,"Male","Creative",0.47,0.62,0.45,0.49,0.17
"66","V0066",59,"Male","Manager",0.67,0.59,0.57,0.63,0.44
"67","V0067",26,"Male","Sales",0.65,0.52,0.53,0.39,0.43
"68","V0068",46,"Male","Entrepreneur",0.83,0.45,0.71,0.57,0.29
"69","V0069",29,"Male","Entrepreneur",0.59,0.74,0.49,0.59,0.44
"70","V0070",37,"Male","Scientist",0.48,0.55,0.35,0.64,0.16
"71","V0071",26,"Female","Creative",0.9,0.81,1,0.65,0.45
"72","V0072",60,"Male","Sales",0.73,0.6,0.27,0.6,0.58
"73","V0073",52,"Male","Student",0.63,0.86,0.54,0.55,0.57
"74","V0074",46,"Female","Entrepreneur",0.47,0.58,0.35,0.7,0.33
"75","V0075",33,"Female","IT Specialist",0.55,0.41,0.59,0.51,0.5
"76","V0076",54,"Male","Creative",0.86,0.75,0.65,0.63,0.26
"77","V0077",45,"Female","Student",0.49,0.75,0.69,0.55,0.43
"78","V0078",63,"Male","Sales",0.67,0.46,0.15,0.59,1
"79","V0079",22,"Male","Scientist",0.66,0.56,0.69,0.48,0.69
"80","V0080",45,"Male","Entrepreneur",0.67,0.41,0.9,0.48,0.56
"81","V0081",19,"Male","Manager",0.64,0.52,0.45,0.67,0.73
"82","V0082",35,"Female","Creative",0.55,0.3,0.3,0.73,0.22
"83","V0083",41,"Female","Service Worker",0.68,0.7,0.27,0.75,0.36
